province,total,latest_change
Eastern Cape,183136,98
Free State,76762,241
Gauteng,397908,476
KwaZulu-Natal,316382,75
Limpopo,60102,0
Mpumalanga,71178,225
Northern Cape,32161,11
North West,59055,0
Western Cape,264512,176
Unknown,0,0
