province,total,latest_change
Eastern Cape,180689,976
Free State,66760,627
Gauteng,333842,4917
KwaZulu-Natal,252115,4468
Limpopo,37197,1384
Mpumalanga,45894,1076
Northern Cape,27648,265
North West,46451,572
Western Cape,241001,3136
Unknown,0,0
